year,category,cpi_category,item_name,size,price,essential_status,yoy_inflation_pct,cumulative_inflation_pct
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Earwax Drops,15 ml,2.25,essential,0.0,18.421052631578952
2025,ELECTRICAL,Recreation,Clip On Lamp-Plastic,,13.0,non-essential,8.333333333333332,18.181818181818183
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Terbinafine Antifungal Crm-.5 oz,,8.25,essential,0.0,17.857142857142858
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Chlorphen Tabs,24 tabs,1.0,essential,0.0,17.647058823529417
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Fixodent Denture,,5.0,essential,0.0,17.647058823529413
2025,PACKAGED MEAT,Food at home,EKH Tuna In Water,4.23 oz,1.7,essential,0.0,17.24137931034483
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-Calcium,100 tabs,2.75,essential,0.0,17.021276595744677
2025,ART SUPPLIES,Recreation,Illustration Boards,2 pk,5.0,non-essential,0.0,16.279069767441865
2025,ELECTRICAL,Recreation,Adaptor-75/300 ohm,,1.5,non-essential,0.0,15.38461538461538
2025,ELECTRICAL,Recreation,"Fan 9"" Electric",,23.0,non-essential,0.0,15.0
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Clotrimazole Antifungal Cream,,1.25,essential,0.0,13.636363636363628
2025,JEWELRY / RELIGIOUS,Other goods,Prayer Oil,4 oz,21.0,non-essential,0.0,12.0
2025,CORRESPONDENCE,Recreation,Folder Storage,10x15,1.4,non-essential,0.0,11.999999999999991
2025,ELECTRICAL,Recreation,Swintec Ribbon-Black,,7.25,non-essential,0.0,11.538461538461538
2025,FEMALE ONLY,Personal care,Mascara-Avon/Black-.21 oz,,10.0,non-essential,0.0,11.11111111111111
2025,HYGIENE,Personal care,Shampoo,15 oz,1.375,essential,3.773584905660381,10.0
2025,CLOTHING,Apparel,Socks,,1.65,essential,9.999999999999991,9.999999999999991
2025,HYGIENE,Personal care,Colgate Toothpaste,6 oz,3.0,essential,15.38461538461538,9.090909090909092
2025,SODAS,Food at home,EK Dr Pepper,12 oz,0.6,non-essential,9.09090909090908,9.09090909090908
2025,SODAS,Food at home,Fanta Pineapple,12 oz,0.6,non-essential,9.09090909090908,9.09090909090908
2025,SODAS,Food at home,Fanta Orange,12 oz,0.6,non-essential,9.09090909090908,9.09090909090908
2025,SODAS,Food at home,Mountain Dew,12 oz,0.6,non-essential,9.09090909090908,9.09090909090908
2025,SODAS,Food at home,Big Red,12 oz,0.6,non-essential,9.09090909090908,9.09090909090908
2025,ELECTRICAL,Recreation,Hot Pot w/Insert,,24.5,non-essential,0.0,8.88888888888889
2025,HYGIENE,Personal care,Conditioner,15 oz,1.35,essential,0.0,8.000000000000007
2025,CORRESPONDENCE,Recreation,Dictionary (English),,7.5,non-essential,15.384615384615383,7.142857142857142
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Triple Antibiotic Ointment,1 oz,2.1,essential,0.0,5.000000000000004
2025,CANDY,Food at home,Fruit Filled Hard Candy,22 oz,2.5,non-essential,0.0,4.166666666666671
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-C500 Complex,100 tabs,2.75,essential,1.8518518518518448,3.773584905660381
2025,CONDIMENTS,Food at home,Stevia Sweetener,,1.4,essential,0.0,3.7037037037036895
2025,CANDY,Food at home,Cinnamon Jawbreaker,10 oz,1.55,non-essential,0.0,3.333333333333336
2025,FEMALE ONLY,Personal care,Always Pantiliners,20 ct,1.35,essential,0.0,0.0
2025,HYGIENE,Personal care,Cotton Swabs,100 ct,0.55,essential,0.0,0.0
2025,HYGIENE,Personal care,Antibacterial Soap,1.25 oz,0.15,essential,0.0,0.0
2025,HYGIENE,Personal care,Ad Seg Shampoo,4 oz,0.55,essential,0.0,0.0
2025,CORRESPONDENCE,Recreation,Pencil-Lead,,0.15,essential,0.0,0.0
2025,CORRESPONDENCE,Recreation,"Pen-Black ""Property""",,0.3,essential,0.0,0.0
2025,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,Vitamin-Garlic/Oil,100 tabs,2.85,essential,0.0,0.0
2025,ELECTRICAL,Recreation,"Adaptor-1/8""-1/4"" headphone",,1.5,non-essential,0.0,0.0
2025,FEMALE ONLY,Personal care,Hijab-Females Only,,17.0,non-essential,0.0,0.0
2025,ELECTRICAL,Recreation,Swintec Printwheel-Pica,,40.0,non-essential,0.0,0.0
2025,ELECTRICAL,Recreation,Radio/Clock-Clear Tech,,20.0,non-essential,0.0,0.0
2025,ELECTRICAL,Recreation,Lift Off Correction Ribbon,,2.0,non-essential,0.0,0.0
2025,JEWELRY / RELIGIOUS,Other goods,Hat-White Knitted,,8.0,non-essential,0.0,0.0
2025,FEMALE ONLY,Personal care,Tweezer-Blunt,,0.75,non-essential,0.0,0.0
2025,HYGIENE,Personal care,Efferdent,102 tablets,7.75,essential,0.0,-3.125
2025,ART SUPPLIES,Recreation,Mini Colored Pencils,24 pk,2.4,non-essential,-42.16867469879519,-4.000000000000004
2025,INSTANT DRINK MIX,Food at home,Sugar Free Hot Chocolate,,1.95,essential,0.0,-7.1428571428571495
2025,FEMALE ONLY,Personal care,Hygiene Pack,7 piece,22.0,essential,10.0,-8.333333333333332
2025,HYGIENE,Personal care,Nail Clippers,,0.25,essential,0.0,-16.666666666666664
2025,MALE ONLY,Personal care,Mennen Deodorant,3 oz,1.9,essential,35.714285714285715,-24.000000000000004
2025,MALE ONLY,Personal care,Hygiene Pack,3 piece,9.5,essential,0.0,-26.923076923076923
2025,FEMALE ONLY,Personal care,Sports Bra,,4.375,essential,0.0,-27.08333333333333
2025,MALE ONLY,Personal care,Hygiene Pack,3 piece,9.25,essential,-2.631578947368421,-28.846153846153843
2025,JEWELRY / RELIGIOUS,Other goods,Hat-White Solid,,0.75,non-essential,0.0,-40.0
2025,JEWELRY / RELIGIOUS,Other goods,Wood Rune Set,,5.25,non-essential,0.0,-47.5
