item_id,item_name,size,category,cpi_category,essential_status,num_years,mean_yoy_pct,median_yoy_pct,std_yoy_pct,max_yoy_pct,min_yoy_pct,num_positive_years,num_significant_increases,consistency_score,years_in_top_percentile,volatility_cv,trend_type,cumulative_inflation_pct
Swintec Ribbon-Black|,Swintec Ribbon-Black,,ELECTRICAL,Recreation,non-essential,6,3.1318083976904174,0.0,16.671875969108758,34.88372093023256,-21.153846153846157,2,1,0.3333333333333333,1,5.323402281379536,volatile,11.538461538461538
T-Shirts|,T-Shirts,,CLOTHING,Apparel,essential,6,31.086789554531492,0.0,64.83874026927764,175.80645161290323,0.0,2,2,0.3333333333333333,2,2.085732917371204,spiker,205.35714285714283
Terbinafine Antifungal Crm-.5 oz|,Terbinafine Antifungal Crm-.5 oz,,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,155.5952380952381,0.0,379.41290501817554,1000.0,-91.42857142857144,2,2,0.3333333333333333,2,2.438460904477945,spiker,17.857142857142858
Toilet Tissue (roll)|,Toilet Tissue (roll),,HYGIENE,Personal care,essential,6,11.258169934640526,2.941176470588238,15.330986299932,41.66666666666667,0.0,3,2,0.5,2,1.3617654013872833,volatile,80.0
Tolnaftate Antifungal Cream-.5 oz|,Tolnaftate Antifungal Cream-.5 oz,,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,6.519607843137256,0.0,11.57994212388233,24.999999999999996,-5.882352941176463,2,2,0.3333333333333333,2,1.776171573888718,volatile,41.17647058823529
Tootsie Pops|8 pk,Tootsie Pops,8 pk,CANDY,Food at home,non-essential,6,11.388888888888888,4.999999999999996,13.278242669685689,33.33333333333333,0.0,3,2,0.5,3,1.1658944783138654,volatile,83.33333333333331
Triple Antibiotic Ointment|1 oz,Triple Antibiotic Ointment,1 oz,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,1.0022522522522528,0.0,6.229472824365423,13.513513513513512,-7.499999999999996,1,1,0.16666666666666666,1,6.2154740090297675,volatile,5.000000000000004
Tweezer-Blunt|,Tweezer-Blunt,,FEMALE ONLY,Personal care,non-essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Twix Candy Bar|1.79 oz,Twix Candy Bar,1.79 oz,CANDY,Food at home,non-essential,6,10.33797729618163,8.513931888544892,9.57310893479751,25.0,0.0,4,3,0.6666666666666666,3,0.9260137317513139,volatile,76.47058823529413
Typewriter-Swintec|,Typewriter-Swintec,,ELECTRICAL,Recreation,non-essential,6,10.0,0.0,22.360679774997898,60.0,0.0,1,1,0.16666666666666666,1,2.23606797749979,volatile,60.0
Typing Paper|50 sheets,Typing Paper,50 sheets,CORRESPONDENCE,Recreation,essential,6,29.509049303099648,7.894736842105271,40.098934281634804,109.09090909090908,0.0,3,3,0.5,3,1.3588690665619916,volatile,268.42105263157896
Vitamin-Amino Acid|100 tabs,Vitamin-Amino Acid,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,5.755116959064328,0.0,21.281154992549983,49.33333333333332,-21.052631578947366,2,1,0.3333333333333333,1,3.697779757374365,volatile,25.26315789473685
Vitamin-C500 Complex|100 tabs,Vitamin-C500 Complex,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,1.0059348383111042,0.0,8.890582049273126,17.391304347826104,-13.207547169811324,2,1,0.3333333333333333,1,8.838129181607632,volatile,3.773584905660381
Vitamin-Calcium|100 tabs,Vitamin-Calcium,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,2.9944838455476748,0.0,8.73816628881268,22.22222222222222,-4.255319148936174,1,1,0.16666666666666666,1,2.9180876369745508,volatile,17.021276595744677
Vitamin-E 200 IU|100 tabs,Vitamin-E 200 IU,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,7.5798567807860975,0.0,25.19974154828763,60.71428571428572,-20.895522388059707,2,1,0.3333333333333333,1,3.3245669775932356,volatile,34.32835820895522
Vitamin-Garlic/Oil|100 tabs,Vitamin-Garlic/Oil,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,0.9356725146198835,0.0,13.838783118361679,26.66666666666667,-21.05263157894737,1,1,0.16666666666666666,1,14.790199457749036,volatile,0.0
Vitamin-Multi No Iron|100 tabs,Vitamin-Multi No Iron,100 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,5.5807871487797485,5.319148936170212,14.584504233614542,27.027027027027025,-19.565217391304337,3,3,0.5,3,2.613341782225734,volatile,30.43478260869566
Vitamin-Omega|120 tabs,Vitamin-Omega,120 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,19.040636782572268,0.0,49.06489913235144,127.2727272727273,-19.480519480519483,2,1,0.3333333333333333,1,2.576851798216125,volatile,94.8051948051948
Watercolor Pad|9x12,Watercolor Pad,9x12,ART SUPPLIES,Recreation,non-essential,6,4.581529581529582,0.0,8.299218665459842,22.727272727272727,0.0,2,1,0.3333333333333333,1,1.8114515071381638,volatile,28.57142857142857
Watercolor Paints|16 colors,Watercolor Paints,16 colors,ART SUPPLIES,Recreation,non-essential,6,27.962962962962962,0.0,57.70086285975231,156.66666666666666,0.0,2,2,0.3333333333333333,2,2.063474565845447,spiker,185.1851851851852
Wood Rune Set|,Wood Rune Set,,JEWELRY / RELIGIOUS,Apparel,non-essential,6,-5.499999999999999,0.0,25.190937523905955,25.0,-57.99999999999999,1,1,0.16666666666666666,1,4.580170458891993,volatile,-47.5
