year,category,cpi_category,avg_price,yoy_inflation_pct,cumulative_inflation_pct
2022,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,3.233333333333333,23.882503192848013,17.163452172218978
2022,PACKAGED MEAT,Food at home,1.7,6.249999999999992,17.24137931034483
2022,SHOES,Apparel,7.0,12.0,12.0
2022,SNACKS,Food at home,1.2,19.999999999999996,41.17647058823529
2023,ART SUPPLIES,Recreation,3.26875,7.613168724279842,23.349056603773583
2023,BEVERAGES,Food at home,0.55,0.0,
2023,CANDY,Food at home,1.1333333333333335,10.569105691056915,16.239316239316263
2023,CLOTHING,Apparel,6.15625,15.070093457943933,42.34104046242774
2023,CONDIMENTS,Food at home,2.12,9.844559585492224,23.976608187134495
2023,CORRESPONDENCE,Recreation,1.5083333333333335,9.036144578313285,15.249920407513539
2023,ELECTRICAL,Recreation,29.37916666666667,1.007544647120639,41.39705882352942
