year,category,item_name,size,price_min,price_max
2019,INSTANT DRINK MIX,EKH Electrolyte Mix-Asst Flavors-.14,,0.15,0.15
2019,INSTANT DRINK MIX,Electrolyte Fruit Punch Mix,8 oz,1.35,1.35
2019,INSTANT DRINK MIX,GH Meal Replacement Shake,2 oz,0.9,0.9
2019,INSTANT DRINK MIX,GH Nutrition Shake 1 .,,15.0,15.0
2019,INSTANT DRINK MIX,Hot Chocolate,10 oz,0.95,0.95
2019,INSTANT DRINK MIX,Sugar Free Drink Mix,8 pk,0.8,0.8
2019,INSTANT DRINK MIX,Sugar Free Hot Chocolate,,2.1,2.1
2019,INSTANT FOODS,Brown Rice-Instant,6.5 oz,0.75,0.75
2019,INSTANT FOODS,Cereal-Assorted Flavors,20 oz,3.2,3.2
2019,INSTANT FOODS,EH Low Sodium Ramen Noodles,,0.3,0.3
2019,INSTANT FOODS,EK Potatoes-4 Cheese,4 oz,2.05,2.05
2019,INSTANT FOODS,EK White Rice-Instant,8 oz,0.75,0.75
2019,INSTANT FOODS,Hot Cereal-Instant Asst.,10 pk,5.35,5.35
2019,INSTANT FOODS,Italian Pasta Salad Kit,6 oz,1.55,1.55
2019,INSTANT FOODS,Oatmeal Variety (10 Pk),12.4 oz,1.35,1.35
2019,INSTANT FOODS,Pasta - Instant,9 oz,1.85,1.85
2019,INSTANT FOODS,Pasta Seasoning Bags,,3.0,3.0
2019,INSTANT FOODS,Refried Beans-Instant,15 oz,1.5,1.5
2019,JEWELRY / RELIGIOUS,Chain,,0.2,0.2
2019,JEWELRY / RELIGIOUS,Hat-White Knitted,,8.0,8.0
2019,JEWELRY / RELIGIOUS,Hat-White Solid,,1.25,1.25
2019,JEWELRY / RELIGIOUS,Medallions,,4.0,19.25
2019,JEWELRY / RELIGIOUS,Medicine Bag Plain & Beaded,,3.5,16.5
2019,JEWELRY / RELIGIOUS,Nylon Watch Band,,3.5,3.5
2019,JEWELRY / RELIGIOUS,Prayer Oil,4 oz,18.75,18.75
2019,JEWELRY / RELIGIOUS,Watch - Casio,,19.5,19.5
2019,JEWELRY / RELIGIOUS,Wood Rune Set,,10.0,10.0
2019,JUICES / WATER / TEA,Cranberry Juice,11.5 oz,0.7,0.7
2019,JUICES / WATER / TEA,Diet Green Tea w/Citrus,16.9 oz,0.45,0.45
2019,JUICES / WATER / TEA,EH Water,16.9 oz,0.15,0.15
2019,JUICES / WATER / TEA,Gatorade,12 oz,0.55,0.55
2019,JUICES / WATER / TEA,Orange Juice,11.5 oz,0.7,0.7
2019,JUICES / WATER / TEA,Pineapple/Orange Juice,11.5 oz,0.7,0.7
2019,JUICES / WATER / TEA,Strawberry Kiwi Juice,11.5 oz,0.7,0.7
2019,JUICES / WATER / TEA,V-8 Juice,11.5 oz,0.8,0.8
2019,JUICES / WATER / TEA,V-8 Splash,16 oz,1.15,1.15
2019,KOSHER ITEMS,Cheese Ravioli,12 oz,3.85,3.85
2019,KOSHER ITEMS,Instant Chili w/ Beans,12 oz,1.5,1.5
2019,KOSHER ITEMS,Matzo Crackers,10 oz,3.25,3.25
2019,KOSHER ITEMS,Stuffed Chicken,12 oz,6.25,6.25
2019,KOSHER ITEMS,Turkey Shwarma,12 oz,5.5,5.5
2019,MALE ONLY,Hygiene Pack,3 piece,13.0,13.0
2019,MALE ONLY,Mennen Antiperspirant,3 oz,2.5,2.5
2019,MALE ONLY,Mennen Deodorant,3 oz,2.5,2.5
2019,MISCELLANEOUS,Batteries-Asst Sizes,,1.4,2.5
2019,MISCELLANEOUS,Battery AA,,0.3,0.3
2019,MISCELLANEOUS,Bowl - Plastic,,1.0,1.0
2019,MISCELLANEOUS,Commissary Mesh Bag,,3.75,3.75
2019,MISCELLANEOUS,Cooling Towel,,2.0,2.0
2019,MISCELLANEOUS,Crystal Clean Detergent,16 oz,2.25,2.25
2019,MISCELLANEOUS,Ear Plugs,,0.2,0.2
2019,MISCELLANEOUS,Handkerchief,,0.85,0.85
2019,MISCELLANEOUS,Heritage Detergent,14.4 oz,1.25,1.25
2019,MISCELLANEOUS,ID Badge,,0.5,0.5
2019,MISCELLANEOUS,Jersey Gloves-Cotton,,2.75,2.75
2019,MISCELLANEOUS,Laces-45 inch White,,0.85,0.85
2019,MISCELLANEOUS,Laces-54 inch White,,0.95,0.95
2019,MISCELLANEOUS,Laces-Boot-54 inch Tan,,1.0,1.0
2019,MISCELLANEOUS,Mirror,,3.5,3.5
2019,MISCELLANEOUS,Mug - Plastic,,1.1,1.1
2019,MISCELLANEOUS,Padlock w/Key,,13.25,13.25
2019,MISCELLANEOUS,Photo Album (20 pg),,2.0,2.0
2019,MISCELLANEOUS,Reading Glasses-Asst Strengths,,1.3,3.25
2019,MISCELLANEOUS,Spoon - Plastic,,0.3,0.3
2019,"OTC MEDICATIONS, VITAMINS, ETC",Acid Reducer 150 mg,24 tabs,2.1,2.1
