year,category,item_name,size,price_min,price_max
2021,ELECTRICAL,Headphones,,6.0,6.0
2021,ELECTRICAL,Hot Pot w/Insert,,22.5,22.5
2021,ELECTRICAL,LED Light Bulb,,2.35,2.35
2021,ELECTRICAL,Lift Off Correction Ribbon,,2.0,2.0
2021,ELECTRICAL,Multi Outlet (2 plug),,8.0,8.0
2021,ELECTRICAL,Olympia/Clear Tech Ribbon,,1.75,1.75
2021,ELECTRICAL,Radio/Clock-Clear Tech,,20.0,20.0
2021,ELECTRICAL,Solar Calculator,,4.0,4.0
2021,ELECTRICAL,Swintec Printwheel-Pica,,40.0,40.0
2021,ELECTRICAL,Swintec Ribbon-Black,,3.75,6.5
2021,ELECTRICAL,Typewriter-Swintec,,360.0,360.0
2021,FEMALE ONLY,Always Pantiliners,20 ct,1.35,1.35
2021,FEMALE ONLY,Briefs/Panties,3 pk,7.0,9.0
2021,FEMALE ONLY,Eyeliner/Brow Pencil-.05 oz,,5.25,5.25
2021,FEMALE ONLY,Foundation-Asst Shades,1 oz,3.9,10.0
2021,FEMALE ONLY,Hair Dryer-1600 Watts,,22.0,22.0
2021,FEMALE ONLY,Hijab-Females Only,,17.0,17.0
2021,FEMALE ONLY,Hygiene Pack,7 piece,20.0,20.0
2021,FEMALE ONLY,Ladies Speed Stick,2.3 oz,1.35,1.35
2021,FEMALE ONLY,Lip Therapy,,1.5,1.5
2021,FEMALE ONLY,Lipstick-Asst Colors,,5.0,5.0
2021,FEMALE ONLY,Mascara-Avon/Black-.21 oz,,10.0,10.0
2021,FEMALE ONLY,Maxi Pads,22 ct,2.45,2.45
2021,FEMALE ONLY,Monistat,,22.0,22.0
2021,FEMALE ONLY,Ogilvie Hair Perm,,10.0,10.0
2021,FEMALE ONLY,Ponytail Holders,10 pk,1.0,1.0
2021,FEMALE ONLY,Sports Bra,,6.0,6.0
2021,FEMALE ONLY,"Storage Box-14""x8""x8""",,22.0,22.0
2021,FEMALE ONLY,Tweezer-Blunt,,0.75,0.75
2021,GAMES,Chess Set,,6.5,6.5
2021,HYGIENE,Ad Seg Colgate,1 oz,0.8,0.8
2021,HYGIENE,Ad Seg Shampoo,4 oz,0.55,0.55
2021,HYGIENE,Afta After Shave,3 oz,2.75,2.75
2021,HYGIENE,Ambi Skin Cream,2 oz,6.75,6.75
2021,HYGIENE,Antibacterial Lotion,4 oz,0.9,0.9
2021,HYGIENE,Antibacterial Soap,1.25 oz,0.15,0.15
2021,HYGIENE,Antifungal Foot Powder,3.5 oz,1.4,1.4
2021,HYGIENE,Baby Powder,15 oz,1.0,1.0
2021,HYGIENE,Baby Shampoo,15 oz,1.3,1.3
2021,HYGIENE,Blistex Medicated Lip Balm,,1.15,1.15
2021,HYGIENE,Blue Magic Hair Cond,12 oz,1.5,1.5
2021,HYGIENE,Brushless Shave Cream,5 oz,0.8,0.8
2021,HYGIENE,Cocoa Butter Lotion,8 oz,1.0,1.0
2021,HYGIENE,Colgate Toothpaste,6 oz,2.6,2.6
2021,HYGIENE,Conditioner,15 oz,1.25,1.25
2021,HYGIENE,Cotton Swabs,100 ct,0.55,0.55
2021,HYGIENE,Dandruff Shampoo,12 oz,1.45,1.45
2021,HYGIENE,Dental Floss Picks,,0.7,0.7
2021,HYGIENE,Dial Soap,1.25 oz,0.2,0.2
2021,HYGIENE,Efferdent,102 tablets,7.5,7.5
2021,HYGIENE,Fixodent Denture,,4.75,4.75
2021,HYGIENE,Hair Brush-No Handle,,0.65,0.65
