year,category,item_name,size,price_min,price_max
2025,FEMALE ONLY,Sports Bra,,4.0,4.75
2025,FEMALE ONLY,"Storage Box-14""x8""x8""",,40.0,40.0
2025,FEMALE ONLY,Tampons,,6.0,15.0
2025,FEMALE ONLY,Tweezer-Blunt,,0.75,0.75
2025,GAMES,Chess Set,,9.0,9.0
2025,GAMES,Domino,,7.45,7.45
2025,HYGIENE,Ad Seg Colgate,1 oz,1.0,1.0
2025,HYGIENE,Ad Seg Fresh Scent 3 in 1,,1.0,1.0
2025,HYGIENE,Ad Seg Shampoo,4 oz,0.55,0.55
2025,HYGIENE,Afta After Shave,3 oz,4.5,4.5
2025,HYGIENE,Aloe Lotion,15 oz,1.6,1.6
2025,HYGIENE,Ambi Skin Fade Cream,,8.5,8.5
2025,HYGIENE,Antibacterial Lotion,4 oz,1.6,1.6
2025,HYGIENE,Antibacterial Soap,1.25 oz,0.15,0.15
2025,HYGIENE,Antifungal Foot Powder,3.5 oz,3.25,3.25
2025,HYGIENE,Baby Powder,,2.8,2.8
2025,HYGIENE,Barbasol Shave Cream,,5.0,5.0
2025,HYGIENE,Bergamot-Blue Magic Hair,,2.65,2.65
2025,HYGIENE,Blue Magic Hair Cond,12 oz,3.75,3.75
2025,HYGIENE,Body Wash,15 oz,1.4,1.4
2025,HYGIENE,Cocoa Butter Lotion,15 oz,1.6,1.6
2025,HYGIENE,Colgate Toothpaste,6 oz,3.0,3.0
2025,HYGIENE,Conditioner,15 oz,1.35,1.35
2025,HYGIENE,Cotton Swabs,100 Ct,0.55,0.55
2025,HYGIENE,Dandruff Shampoo,12 oz,2.25,2.25
2025,HYGIENE,Dental Floss Picks,,1.15,1.15
2025,HYGIENE,Denture Adhesive,2.4oz,3.95,3.95
2025,HYGIENE,Denture Adhesive .85oz,,1.75,1.75
2025,HYGIENE,Dial Soap,1.25 oz,0.4,0.4
2025,HYGIENE,Efferdent,102 Tablets,7.75,7.75
2025,HYGIENE,Fixodent Denture,,5.0,5.0
2025,HYGIENE,Hair Brush-No Handle,,1.1,1.1
2025,HYGIENE,Hair Gel,15 oz,2.15,2.15
2025,HYGIENE,Lubriderm Lotion,,6.0,6.0
2025,HYGIENE,Magic Shave Cream,6 oz,7.0,7.0
2025,HYGIENE,Medi/Cleanse Cream,8 oz,2.0,2.0
2025,HYGIENE,Medicated Powder,,2.1,2.1
2025,HYGIENE,Mouthwash-Alc Free-8,16 oz,1.35,1.75
2025,HYGIENE,Nail Clippers,,0.25,0.25
2025,HYGIENE,Petroleum Jelly,4 oz,1.75,1.75
2025,HYGIENE,Pocket Comb,,0.3,0.3
2025,HYGIENE,Ponytail Holders,10 pk,1.4,1.4
2025,HYGIENE,Razor Disposable,10pk,1.2,1.2
2025,HYGIENE,Sensodyne Toothpaste,4 oz,10.5,10.5
2025,HYGIENE,Shampoo,15 oz,1.35,1.4
